ФИО;Паспортные данные;СНИЛС;Симптомы;Выбор врача;Дата посещения врача;Анализы;Дата получения анализов;Стоимость анализов;Карта оплаты
Константинов Игорь Станиславович;5223 002304;548-851-027 19;проблемы в отношениях, фобии, эмоциональные проблемы;психотерапевт;2025-12-12T09:45+03:00;нейропсихологическое обследование;2025-12-15T17:00+03:00;1750 руб.;4630 2761 6928 4516
Соколова Надежда Александровна;3424 405299;681-579-812 52;общая слабость, общее недомогание, легкая тошнота;физиотерапевт;2025-12-19T17:30+03:00;общий анализ мочи, общий анализ крови;2025-12-22T16:30+03:00;1400 руб.;4276 4465 6101 4386
Попова Людмила Антоновна;5424 865402;912-165-585 94;инфекционный кашель, высокая температура, увеличение лимфоузлов при инфекции;инфекционист;2025-12-18T15:00+03:00;бакпосев крови, анализ крови на антитела;2025-12-22T12:00+03:00;3300 руб.;2200 0689 3639 2647
Васильева Полина Васильевна;3422 953746;629-251-881 13;боль в суставах, деформация суставов, отек суставов;ревматолог;2025-12-18T15:45+03:00;анализ крови на антинуклеарные антитела, рентген суставов;2025-12-22T09:00+03:00;4400 руб.;2200 0794 9993 9336
Попова Людмила Антоновна;5424 865402;912-165-585 94;общее недомогание;диетолог;2025-12-17T16:30+03:00;общий анализ мочи;2025-12-19T17:00+03:00;600 руб.;2200 0504 6333 1271
Скворцова Надежда Григорьевна;5415 473547;038-860-868 00;запор;гастроэнтеролог;2025-12-04T15:30+03:00;биохимический анализ крови, узи брюшной полости;2025-12-08T17:00+03:00;4300 руб.;4627 2948 4656 4825
Марков Никита Филиппович;7721 244763;493-618-324 17;общая слабость, общее недомогание;детский хирург;2025-11-25T17:15+03:00;общий анализ мочи, общий анализ крови;2025-11-27T17:00+03:00;1400 руб.;2200 0420 6163 2945
Большакова Галина Владиславовна;0319 309479;517-123-685 68;отек Квинке, чихание;аллерголог;2025-11-24T10:45+03:00;аллергопробы, анализ крови на специфические аллергены;2025-11-27T09:00+03:00;3400 руб.;5100 2086 0259 2229
Филиппов Валентин Степанович;4717 273433;534-624-751 90;аутоиммунные проявления, увеличение лимфоузлов, аллергические реакции;иммунолог;2025-12-10T11:00+03:00;анализ крови на иммуноглобулины;2025-12-11T11:00+03:00;1650 руб.;2200 0580 9733 9776
Захарова Ульяна Степановна;1624 337903;773-872-148 48;легкая тошнота;терапевт;2025-11-28T17:15+03:00;общий анализ мочи;2025-12-01T09:00+03:00;600 руб.;4276 4465 6101 4386
Крылов Геннадий Александрович;7723 249566;738-299-737 68;незначительное повышение температуры, общая слабость;кардиохирург;2025-11-21T10:45+03:00;общий анализ крови;2025-11-24T09:00+03:00;800 руб.;2200 0497 9251 3278
Романов Святослав Павлович;2324 962490;005-184-498 34;легкая тошнота;пластический хирург;2025-12-15T14:00+03:00;общий анализ мочи;2025-12-17T10:00+03:00;600 руб.;2200 1445 8929 7506
Власова Анна Евгеньевна;1611 114612;817-946-954 66;общее недомогание;неонатолог;2025-12-08T16:45+03:00;общий анализ крови, общий анализ мочи;2025-12-11T13:45+03:00;1400 руб.;4154 2820 5852 7722
Скворцов Павел Алексеевич;6321 855663;822-782-489 27;сухость в горле, снижение слуха, выделения из носа;лор;2025-12-03T15:00+03:00;рентген носовых пазух, анализ крови на стрептококк;2025-12-08T09:00+03:00;4400 руб.;2200 0964 9308 5361
Романчук Снежана Владиславовна;6123 169931;392-407-581 96;повышенная жажда, выпадение волос;эндокринолог;2025-12-08T14:00+03:00;анализ крови на Т3;2025-12-10T11:00+03:00;1650 руб.;5536 9182 7229 9277
Скворцов Павел Алексеевич;6321 855663;822-782-489 27;покалывание, нарушение речи;невролог;2025-12-15T09:15+03:00;электроэнцефалография, узи сосудов головы и шеи;2025-12-17T14:15+03:00;12500 руб.;2200 0308 4958 8034
Николаев Григорий Павлович;3423 068942;678-669-125 78;боль в ногах;флеболог;2025-11-28T09:30+03:00;анализ крови на Д-димер, коагулограмма;2025-12-01T17:00+03:00;3400 руб.;4279 0150 4617 3575
Григорьева Ольга Егоровна;3801 948915;235-784-521 94;повышенная температура у детей, частые ОРВИ у детей, детские болезни;педиатр;2025-12-02T17:00+03:00;анализ кала на яйца глист;2025-12-03T17:00+03:00;1750 руб.;2200 0301 8409 4358
Романчук Снежана Владиславовна;6123 169931;392-407-581 96;общая слабость, незначительное повышение температуры;геронтолог;2025-11-24T11:30+03:00;общий анализ крови;2025-11-27T09:00+03:00;800 руб.;4276 4454 2493 2149
Степанова Юлия Егоровна;5224 755639;959-001-094 08;боль в животе;гастроэнтеролог;2025-12-05T09:00+03:00;гастроскопия, анализ кала на дисбактериоз;2025-12-08T12:00+03:00;10750 руб.;2200 0689 3639 2647
Степанова Евгения Григорьевна;5224 727144;299-556-205 41;незначительное повышение температуры, общее недомогание, головная боль;детский хирург;2025-12-16T12:00+03:00;общий анализ крови, общий анализ мочи;2025-12-19T09:00+03:00;1400 руб.;4153 7473 3294 5628
Комаров Иван Максимович;5022 508948;109-678-994 22;аллергический ринит, аллергическая сыпь;аллерголог;2025-11-24T16:00+03:00;анализ крови на специфические аллергены, провокационные тесты;2025-11-26T09:00+03:00;3400 руб.;4276 4465 6101 4386
Романчук Раиса Романовна;7815 126517;351-823-374 70;общая слабость, незначительное повышение температуры, легкая тошнота;ортодонт;2025-12-10T10:30+03:00;общий анализ мочи, общий анализ крови;2025-12-12T09:00+03:00;1400 руб.;5100 2015 3966 9582
Соловьева Милана Григорьевна;2319 695929;270-289-517 85;изменение аппетита, дрожание рук, резкая потеря веса;эндокринолог;2025-12-08T16:30+03:00;глюкозотолерантный тест;2025-12-10T09:00+03:00;1750 руб.;2200 0505 3494 9374
Филиппова Диана Витальевна;BM9961107;069-901-627 97;легкая тошнота, общая слабость;стоматолог-терапевт;2025-11-24T12:15+03:00;общий анализ крови;2025-11-27T09:00+03:00;800 руб.;2200 0455 5439 8783
Власова Мирослава Станиславовна;5920 417470;213-721-386 33;уплотнения;онколог;2025-12-18T14:30+03:00;мрт с контрастом, кт с контрастом;2025-12-19T17:00+03:00;20500 руб.;4627 2940 5800 8511
Сергеев Михаил Федорович;5022 145825;865-624-220 25;сжимающая боль за грудиной;кардиолог;2025-12-18T16:45+03:00;холтер эко кг;2025-12-22T09:00+03:00;1750 руб.;2200 0392 7868 7654
Никифорова Ульяна Леонидовна;4223 618837;251-341-252 24;головная боль, незначительное повышение температуры, общее недомогание;косметолог;2025-12-19T17:30+03:00;общий анализ крови;2025-12-22T09:00+03:00;800 руб.;4276 4412 8478 1890
Лебедева Алина Викторовна;7415 694304;915-452-267 04;выпадение волос, повышенная жажда, увеличение щитовидной железы;эндокринолог;2025-12-18T14:00+03:00;глюкозотолерантный тест, анализ крови на кортизол;2025-12-22T17:00+03:00;3400 руб.;2200 0542 0949 4070
Семенова Елена Сергеевна;MC8302077;120-750-110 97;выраженная слабость, синяки, увеличение лимфоузлов;гематолог;2025-11-24T11:00+03:00;коагулограмма, биопсия костного мозга;2025-11-27T09:00+03:00;3500 руб.;5100 0216 1227 5309
Романчук Богдан Валентинович;5914 171721;419-049-663 95;опухоли мозга, сильные головные боли, межпозвоночная грыжа;нейрохирург;2025-12-15T11:30+03:00;электроэнцефалография;2025-12-16T17:00+03:00;9000 руб.;2200 0829 2766 3726
Сергеев Михаил Федорович;5022 145825;865-624-220 25;незначительное повышение температуры, общая слабость, легкая тошнота;терапевт;2025-12-04T15:45+03:00;анализ крови на сахар, рентген грудной клетки;2025-12-08T09:00+03:00;4150 руб.;2200 0794 9993 9336
Крюков Илья Викторович;5224 185752;779-979-955 46;детская сыпь;педиатр;2025-12-19T16:45+03:00;общий анализ крови, анализ крови на детские инфекции;2025-12-22T09:00+03:00;2450 руб.;2200 0954 4149 6738
Степанова Евгения Григорьевна;5224 727144;299-556-205 41;частые ОРВИ у детей, повышенная температура у детей, детская сыпь;педиатр;2025-12-08T09:00+03:00;общий анализ крови;2025-12-10T11:00+03:00;800 руб.;5213 2427 8755 8865
Антонов Петр Станиславович;7714 991308;963-259-532 44;выраженная слабость, высокая температура;инфекционист;2025-11-20T10:00+03:00;пцр диагностика;2025-11-24T09:00+03:00;1750 руб.;4627 2910 4709 5211
Крюкова София Степановна;3425 428498;300-981-806 54;изменение цвета мочи;нефролог;2025-11-28T13:45+03:00;урография;2025-12-01T17:00+03:00;1750 руб.;2200 0754 2140 6659
Беляева Галина Никитична;5417 452203;917-410-119 80;легкая тошнота;детский хирург;2025-11-24T09:00+03:00;общий анализ мочи, общий анализ крови;2025-11-27T09:00+03:00;1400 руб.;4153 7425 2410 5644
Яковлев Дмитрий Максимович;5002 637895;446-657-437 22;легкая тошнота, общее недомогание;венеролог;2025-12-02T10:15+03:00;общий анализ мочи;2025-12-05T09:00+03:00;600 руб.;4153 7454 6015 8519
Борисова Галина Станиславовна;2323 088985;732-030-937 55;общее недомогание, легкая тошнота;маммолог;2025-11-20T09:00+03:00;общий анализ крови, общий анализ мочи;2025-11-24T09:00+03:00;1400 руб.;4627 2910 4709 5211
Веселова Жанна Витальевна;5419 838818;944-846-312 44;общее недомогание, головная боль, незначительное повышение температуры;физиотерапевт;2025-12-08T12:00+03:00;общий анализ крови;2025-12-10T17:00+03:00;800 руб.;5323 0132 0204 1796
Степанова Евгения Григорьевна;5224 727144;299-556-205 41;отек век;офтальмолог;2025-12-09T12:00+03:00;офтальмоскопия;2025-12-11T09:00+03:00;1750 руб.;4622 0419 8253 0929
Петухова Злата Олеговна;7816 487283;965-075-273 40;незначительное повышение температуры;пародонтолог;2025-12-08T11:45+03:00;общий анализ крови;2025-12-09T17:00+03:00;800 руб.;4622 0419 8253 0929
Климова Милана Дмитриевна;7825 105066;571-208-267 76;учащенное сердцебиение, боль в сердце;кардиолог;2025-11-20T11:00+03:00;коагулограмма, анализ крови на липиды;2025-11-24T09:00+03:00;3400 руб.;2200 1407 6226 8389
Большакова Людмила Константиновна;4224 704506;842-824-172 09;головная боль при инфекции;инфекционист;2025-12-12T09:15+03:00;пцр диагностика, анализ крови на инфекции;2025-12-15T09:00+03:00;3400 руб.;2200 0733 1819 5881
Егорова Зинаида Артемовна;5421 734862;434-165-182 64;слезотечение;аллерголог;2025-11-24T11:45+03:00;анализ крови на иммуноглобулин Е, провокационные тесты;2025-11-27T09:00+03:00;3400 руб.;2200 0464 5970 1089
Скворцов Павел Алексеевич;6321 855663;822-782-489 27;снижение слуха;лор;2025-12-15T16:30+03:00;мазок из носа, рентген носовых пазух;2025-12-17T09:00+03:00;4400 руб.;2200 0763 6317 9700
Григорьев Юрий Николаевич;5018 133392;904-217-762 88;изменения кожи, увеличение лимфоузлов;онколог;2025-12-15T11:15+03:00;мрт с контрастом;2025-12-17T17:00+03:00;11500 руб.;4622 0440 6335 6933
Рыбаков Александр Максимович;N15376584;780-686-717 55;частое мочеиспускание, недержание мочи, боль в пояснице;уролог;2025-11-24T14:30+03:00;узи мочевого пузыря;2025-11-25T15:30+03:00;3500 руб.;4276 4490 7726 2572
Смирнов Макар Дмитриевич;5023 529904;083-863-794 16;незначительное повышение температуры, общая слабость;терапевт;2025-12-03T13:15+03:00;рентген грудной клетки;2025-12-05T10:15+03:00;2500 руб.;5101 2650 1657 9050
Власова Анастасия Алексеевна;7820 259415;472-282-005 70;постоянная жажда, резкое увеличение веса, частые позывы к мочеиспусканию;эндокринолог;2025-11-27T17:00+03:00;анализ крови на инсулин, анализ крови на Т4;2025-12-01T16:00+03:00;3300 руб.;5101 2664 0155 7784
Петухова Злата Олеговна;7816 487283;965-075-273 40;кровоточивость десен, носовые кровотечения;гематолог;2025-12-11T10:15+03:00;анализ крови развернутый, анализ крови на железо;2025-12-15T11:15+03:00;3300 руб.;5486 7324 1272 3801
Воробьев Макар Филиппович;N95078886;604-805-892 93;сухость кожи, жжение кожи;дерматолог;2025-12-04T09:30+03:00;соскоб на грибы;2025-12-05T10:30+03:00;1750 руб.;5101 2656 9557 9884
Волков Степан Григорьевич;5023 700675;851-888-880 77;аутоиммунные проявления;иммунолог;2025-11-28T12:45+03:00;анализ крови на субпопуляции лимфоцитов, анализ крови на иммунограмму;2025-12-01T17:00+03:00;3300 руб.;2200 0544 4713 2474
Петухов Евгений Владимирович;N99436783;223-105-927 18;боль в суставах;ревматолог;2025-12-11T14:30+03:00;рентген суставов;2025-12-15T17:00+03:00;2750 руб.;2200 0467 2752 0881
Скворцова Надежда Григорьевна;5415 473547;038-860-868 00;синяки, носовые кровотечения, бледность;гематолог;2025-12-15T16:30+03:00;анализ крови на железо;2025-12-17T17:00+03:00;1650 руб.;4279 0106 9375 1500
Семенова Виктория Артемовна;5020 403381;713-695-944 30;эмоциональные проблемы, стресс;психотерапевт;2025-11-24T17:45+03:00;нейропсихологическое обследование;2025-11-26T09:00+03:00;1750 руб.;4627 2956 2656 5049
Константинов Андрей Евгеньевич;0519 569409;403-450-541 29;головная боль;терапевт;2025-12-04T15:45+03:00;общий анализ мочи, анализ крови на сахар;2025-12-08T13:45+03:00;2250 руб.;4276 8323 4785 1961
Яковлева Мария Евгеньевна;AB7864256;724-342-661 83;чихание, аллергический ринит;аллерголог;2025-12-12T11:15+03:00;анализ крови на специфические аллергены;2025-12-15T09:00+03:00;1650 руб.;5101 2647 8730 0242
Фролов Максим Ярославович;5219 744944;964-759-876 01;жжение при мочеиспускании;уролог;2025-12-19T12:00+03:00;анализ мочи по Зимницкому;2025-12-22T17:00+03:00;950 руб.;4276 4479 6471 5892
Крюков Илья Викторович;5224 185752;779-979-955 46;вздутие живота;гастроэнтеролог;2025-12-04T11:30+03:00;гастроскопия;2025-12-08T09:00+03:00;1750 руб.;2200 0497 9251 3278
Соколова Инна Евгеньевна;1614 175255;554-451-895 11;панические атаки;психиатр;2025-12-03T14:15+03:00;психологическое тестирование;2025-12-04T17:00+03:00;1750 руб.;4377 7267 1120 7545
Зайцева Анастасия Денисовна;N74119726;116-719-022 47;незначительное повышение температуры, головная боль, общее недомогание;терапевт;2025-11-20T10:15+03:00;флюорография;2025-11-21T17:00+03:00;1200 руб.;2200 0461 1076 0318
Дмитриева Диана Владиславовна;0221 569098;739-285-574 53;изжога, запор;гастроэнтеролог;2025-11-21T10:30+03:00;анализ кала на дисбактериоз;2025-11-24T16:30+03:00;9000 руб.;2200 0825 0124 9553
Тарасова Диана Максимовна;5925 909314;082-148-628 65;головная боль при инфекции, лихорадка, боль в мышцах при инфекции;инфекционист;2025-12-16T09:15+03:00;анализ кала на инфекции;2025-12-17T17:00+03:00;1750 руб.;5323 0138 7592 7123
Лукашенко Елена Петровна;5914 738964;801-571-647 80;легкая тошнота, головная боль, незначительное повышение температуры;маммолог;2025-12-03T13:45+03:00;общий анализ крови;2025-12-05T17:00+03:00;800 руб.;2200 0771 6781 1266
Степанова Евгения Григорьевна;5224 727144;299-556-205 41;кровотечения;гематолог;2025-12-01T12:45+03:00;биопсия костного мозга;2025-12-03T15:45+03:00;1750 руб.;4276 4494 6579 6785
Петухов Евгений Владимирович;N99436783;223-105-927 18;осиплость голоса, сухость в горле;лор;2025-11-27T11:00+03:00;ларингоскопия;2025-11-28T14:00+03:00;1750 руб.;2200 0269 5249 9118
Большакова Людмила Константиновна;4224 704506;842-824-172 09;незначительное повышение температуры;физиотерапевт;2025-12-11T16:45+03:00;общий анализ мочи, общий анализ крови;2025-12-15T16:45+03:00;1400 руб.;2200 0763 6317 9700
Никифоров Никита Иванович;KB8711752;002-842-762 24;общая слабость, легкая тошнота;андролог;2025-12-11T17:45+03:00;общий анализ крови, общий анализ мочи;2025-12-15T17:00+03:00;1400 руб.;4153 7473 3294 5628
Попова Людмила Антоновна;5424 865402;912-165-585 94;выраженная слабость, петехиальная сыпь;гематолог;2025-12-08T09:15+03:00;коагулограмма, электрофорез белков;2025-12-09T10:15+03:00;10750 руб.;2200 0655 6503 3344
Соколова Надежда Александровна;3424 405299;681-579-812 52;незначительное повышение температуры;маммолог;2025-11-25T09:30+03:00;общий анализ мочи;2025-11-28T09:00+03:00;600 руб.;5100 2007 9056 9655
Фролов Виталий Константинович;7725 988223;296-201-533 71;незначительное повышение температуры;спортивный врач;2025-12-05T17:30+03:00;общий анализ мочи;2025-12-08T16:30+03:00;600 руб.;4276 8383 4404 9632
Константинов Максим Ярославович;7721 787444;163-287-083 76;эпилепсия;нейрохирург;2025-12-01T13:00+03:00;электроэнцефалография, мрт головного мозга;2025-12-03T11:00+03:00;20500 руб.;2200 0668 5366 4980
Рыбаков Александр Максимович;N15376584;780-686-717 55;сжимающая боль за грудиной, боль в левой части груди, одышка;кардиолог;2025-12-08T16:15+03:00;велоэргометрия, анализ крови на КФК;2025-12-11T09:00+03:00;3400 руб.;5100 0283 5723 2460
Баранов Вячеслав Григорьевич;3608 838743;260-256-342 45;незначительное повышение температуры, головная боль;геронтолог;2025-11-28T12:45+03:00;общий анализ крови;2025-12-01T17:00+03:00;800 руб.;2200 0853 5408 3862
Богданова Нина Станиславовна;N66642448;032-420-448 00;нарушение речи, сильная головная боль, головокружение;невролог;2025-12-17T10:30+03:00;рентген шейного отдела позвоночника, мрт головного мозга;2025-12-19T12:30+03:00;14250 руб.;5486 9923 1981 8985
Константинов Максим Ярославович;7721 787444;163-287-083 76;боль при глотании, выделения из носа;лор;2025-12-15T15:15+03:00;мазок из носа, ларингоскопия;2025-12-16T17:00+03:00;3400 руб.;4276 4408 2723 1843
Новикова Людмила Андреевна;5225 303579;605-297-516 96;общее недомогание, незначительное повышение температуры;терапевт;2025-12-01T17:45+03:00;флюорография, общий анализ мочи;2025-12-03T10:45+03:00;1800 руб.;2200 0940 9003 4866
Васильева Полина Васильевна;3422 953746;629-251-881 13;сухость в горле, снижение слуха, осиплость голоса;лор;2025-12-02T09:45+03:00;рентген носовых пазух, мазок из зева;2025-12-05T09:45+03:00;4400 руб.;4377 7259 9293 7846
Дмитриев Ярослав Иванович;PP7816395;041-776-561 67;общее недомогание, общая слабость;терапевт;2025-12-03T17:30+03:00;флюорография, общий анализ крови;2025-12-08T17:30+03:00;2000 руб.;4475 2069 7311 2197
Никифоров Никита Иванович;KB8711752;002-842-762 24;насморк, общее недомогание;терапевт;2025-12-01T14:00+03:00;общий анализ мочи;2025-12-03T09:00+03:00;600 руб.;5100 0396 5772 4296
Борисова Антонина Максимовна;4225 484888;420-696-942 93;общее недомогание;стоматолог;2025-11-24T09:45+03:00;общий анализ мочи, общий анализ крови;2025-11-25T17:00+03:00;1400 руб.;5469 3847 6263 9343
Семенова Виктория Артемовна;5020 403381;713-695-944 30;общая слабость;пародонтолог;2025-12-01T13:15+03:00;общий анализ крови, общий анализ мочи;2025-12-04T09:00+03:00;1400 руб.;2200 0256 3669 4110
Филиппов Валентин Степанович;4717 273433;534-624-751 90;нарушение сна, депрессия;психиатр;2025-11-20T13:45+03:00;электроэнцефалография, нейропсихологическое тестирование;2025-11-21T17:00+03:00;10750 руб.;4153 7428 7572 1585
Крюков Илья Викторович;5224 185752;779-979-955 46;нарушение речи;невролог;2025-12-17T13:30+03:00;кт головного мозга, рентген шейного отдела позвоночника;2025-12-22T09:00+03:00;11750 руб.;4630 2725 7287 0322
Алексеева Василиса Ярославовна;3819 307619;562-386-922 20;медленное заживление ран;иммунолог;2025-12-04T15:00+03:00;анализ крови на иммунограмму, анализ крови на иммуноглобулины;2025-12-08T13:00+03:00;3300 руб.;2200 0221 5134 2282
Молчанов Александр Романович;3415 027224;165-915-201 77;легкая тошнота, общее недомогание, незначительное повышение температуры;мануальный терапевт;2025-11-20T13:00+03:00;общий анализ крови, общий анализ мочи;2025-11-24T09:00+03:00;1400 руб.;5100 0330 4501 8966
Новикова Людмила Андреевна;5225 303579;605-297-516 96;общая слабость;ортодонт;2025-12-17T12:15+03:00;общий анализ мочи, общий анализ крови;2025-12-22T09:00+03:00;1400 руб.;2200 0664 9251 5833
Гусев Евгений Николаевич;N82920556;872-874-315 55;легкая тошнота, общая слабость, головная боль;сосудистый хирург;2025-12-15T14:15+03:00;общий анализ мочи, общий анализ крови;2025-12-16T16:15+03:00;1400 руб.;4622 0478 8147 6171
Романчук Раиса Романовна;7815 126517;351-823-374 70;общее недомогание;маммолог;2025-12-03T13:00+03:00;общий анализ крови;2025-12-05T17:00+03:00;800 руб.;2200 0733 1819 5881
Антонова Надежда Борисовна;5223 137058;445-655-743 14;аллергические реакции, частые инфекции;иммунолог;2025-11-24T17:00+03:00;анализ крови на цитокины;2025-11-26T09:00+03:00;1650 руб.;2200 1445 9779 4528
Захарова Ульяна Степановна;1624 337903;773-872-148 48;частые простуды, увеличение лимфоузлов, частые инфекции;иммунолог;2025-11-20T09:45+03:00;анализ крови на иммунограмму;2025-11-21T17:00+03:00;1650 руб.;2200 0349 9564 1225
Романчук Богдан Валентинович;5914 171721;419-049-663 95;общая слабость;терапевт;2025-12-10T12:45+03:00;общий анализ крови;2025-12-12T09:00+03:00;800 руб.;2200 0422 7770 7937
Егоров Богдан Ильич;2318 566480;408-588-770 27;незначительное повышение температуры;терапевт;2025-12-03T16:30+03:00;анализ крови на сахар;2025-12-05T17:30+03:00;1650 руб.;4153 7430 8069 5812
Власова Анастасия Алексеевна;7820 259415;472-282-005 70;легкая тошнота;диетолог;2025-12-09T14:45+03:00;общий анализ крови, общий анализ мочи;2025-12-11T09:00+03:00;1400 руб.;2200 0295 9724 6654
Яковлев Евгений Борисович;6125 517709;338-005-452 50;общая слабость;ортодонт;2025-12-01T15:00+03:00;общий анализ крови;2025-12-04T09:00+03:00;800 руб.;2200 0455 5439 8783
Попова Злата Станиславовна;0320 792477;199-180-812 16;бессонница, апатия;психиатр;2025-12-12T16:45+03:00;психологическое тестирование;2025-12-15T09:45+03:00;1750 руб.;4153 7423 5369 3785
Большакова Галина Владиславовна;0319 309479;517-123-685 68;головная боль;пародонтолог;2025-12-16T16:30+03:00;общий анализ крови, общий анализ мочи;2025-12-18T09:30+03:00;1400 руб.;5323 0132 0204 1796
Комаров Иван Максимович;5022 508948;109-678-994 22;легкая тошнота, головная боль, общая слабость;диетолог;2025-12-15T15:45+03:00;общий анализ мочи, общий анализ крови;2025-12-16T16:45+03:00;1400 руб.;4377 7215 5626 0600
Власова Анастасия Алексеевна;7820 259415;472-282-005 70;боль в правом подреберье, боль в левом подреберье, тяжесть в желудке;гастроэнтеролог;2025-12-18T17:30+03:00;биохимический анализ крови, анализ крови на печеночные пробы;2025-12-22T13:30+03:00;3150 руб.;4279 0104 8926 7380
Кравцов Никита Александрович;7421 645074;053-021-465 03;легкая тошнота, головная боль;физиотерапевт;2025-12-18T13:00+03:00;общий анализ мочи;2025-12-22T13:00+03:00;600 руб.;2200 0631 8848 5207
Никифоров Никита Иванович;KB8711752;002-842-762 24;семейные конфликты;психотерапевт;2025-12-15T15:00+03:00;нейропсихологическое обследование;2025-12-17T09:00+03:00;1750 руб.;2200 0717 4907 5391
Егорова Зинаида Артемовна;5421 734862;434-165-182 64;семейные конфликты, посттравматический стресс;психотерапевт;2025-12-11T11:45+03:00;психологическое тестирование;2025-12-15T09:00+03:00;1750 руб.;4279 0112 6611 0629
Сидоров Федор Артемович;1610 525388;666-188-924 55;легкая тошнота, общее недомогание, головная боль;спортивный врач;2025-12-08T16:45+03:00;общий анализ мочи, общий анализ крови;2025-12-10T09:00+03:00;1400 руб.;4279 0183 3918 7856
Воробьев Макар Петрович;5023 899139;863-536-541 32;общее недомогание, общая слабость, незначительное повышение температуры;мануальный терапевт;2025-11-26T16:45+03:00;общий анализ крови;2025-12-01T09:00+03:00;800 руб.;5100 0362 0672 4009
Яковлева Мария Евгеньевна;AB7864256;724-342-661 83;незначительное повышение температуры, общая слабость, общее недомогание;стоматолог;2025-11-24T10:30+03:00;общий анализ мочи, общий анализ крови;2025-11-26T09:00+03:00;1400 руб.;2200 1404 4327 0184
Новиков Никита Станиславович;6615 224131;602-606-474 57;общее недомогание, легкая тошнота;сосудистый хирург;2025-12-18T14:45+03:00;общий анализ крови, общий анализ мочи;2025-12-22T17:00+03:00;1400 руб.;4377 7251 9966 3658
Комаров Иван Максимович;5022 508948;109-678-994 22;кровотечения, носовые кровотечения;гематолог;2025-12-12T09:30+03:00;анализ крови на железо;2025-12-15T17:00+03:00;1650 руб.;5469 3847 6263 9343
Филиппов Валентин Степанович;4717 273433;534-624-751 90;колики;педиатр;2025-11-24T17:15+03:00;анализ кала на яйца глист;2025-11-26T09:00+03:00;1750 руб.;2200 0422 7770 7937
Дмитриев Ярослав Иванович;PP7816395;041-776-561 67;аллергическая сыпь, аллергический ринит;аллерголог;2025-12-17T09:30+03:00;анализ крови на иммуноглобулин Е, анализ крови на специфические аллергены;2025-12-18T10:30+03:00;3300 руб.;2200 0418 2422 4123
Яковлева Мария Евгеньевна;AB7864256;724-342-661 83;вздутие живота, тошнота, боль в животе;гастроэнтеролог;2025-12-12T09:30+03:00;гастроскопия, анализ кала на копрограмму;2025-12-15T17:00+03:00;3500 руб.;2200 0403 3993 7880
Романчук Богдан Валентинович;5914 171721;419-049-663 95;аллергический конъюнктивит, крапивница;аллерголог;2025-11-24T16:00+03:00;анализ крови на иммуноглобулин Е, аллергопробы;2025-11-26T09:00+03:00;3400 руб.;2200 0249 6718 3256
Макаров Егор Станиславович;5203 161451;484-677-378 56;общее недомогание, легкая тошнота;челюстно-лицевой хирург;2025-11-21T09:45+03:00;общий анализ крови, общий анализ мочи;2025-11-24T12:45+03:00;1400 руб.;4153 7453 9840 2898
Константинов Максим Ярославович;7721 787444;163-287-083 76;потеря обоняния;лор;2025-12-08T13:45+03:00;анализ крови на стрептококк;2025-12-10T17:00+03:00;1650 руб.;4279 0147 4355 3791
Соколова Надежда Александровна;3424 405299;681-579-812 52;потеря аппетита, общая слабость, боли в мышцах;терапевт;2025-12-11T11:45+03:00;анализ крови на сахар, рентген грудной клетки;2025-12-12T16:45+03:00;4150 руб.;2200 0671 5695 6206
Климов Иван Олегович;7416 909802;497-334-843 39;эмоциональные проблемы;терапевт;2025-12-15T13:30+03:00;общий анализ крови;2025-12-18T09:00+03:00;800 руб.;2200 1450 4793 0364
Максимов Станислав Константинович;7723 323870;357-332-214 68;общее недомогание;стоматолог-хирург;2025-11-26T11:00+03:00;общий анализ крови;2025-11-27T17:00+03:00;800 руб.;4622 0478 8147 6171
Соловьева Радмила Алексеевна;N81530199;948-706-056 49;нарушение менструального цикла, зуд в области половых органов;гинеколог;2025-12-05T14:00+03:00;мазок на флору;2025-12-08T09:00+03:00;1650 руб.;2200 0335 1903 6136
Николаев Григорий Павлович;3423 068942;678-669-125 78;общая слабость, общее недомогание, головная боль;онколог-хирург;2025-12-03T09:30+03:00;общий анализ крови, общий анализ мочи;2025-12-05T15:30+03:00;1400 руб.;2200 0689 3639 2647
Павловсская Мирослава Григорьевна;N90525899;971-791-100 36;увеличение щитовидной железы;эндокринолог;2025-12-19T16:00+03:00;анализ крови на Т4, анализ крови на ТТГ;2025-12-22T17:00+03:00;3300 руб.;2200 0361 9639 9073
Никифоров Никита Иванович;KB8711752;002-842-762 24;общая слабость, незначительное повышение температуры, легкая тошнота;торакальный хирург;2025-11-20T09:45+03:00;общий анализ крови, общий анализ мочи;2025-11-21T15:45+03:00;1400 руб.;4276 8366 7525 4599
Попова Злата Станиславовна;0320 792477;199-180-812 16;уплотнение кожи, пятна на коже, сухость кожи;дерматолог;2025-12-03T16:45+03:00;биопсия кожи;2025-12-05T09:00+03:00;1750 руб.;2200 0585 4982 2742
Сизов Вадим Игоревич;5906 491898;901-043-289 50;периодическая рвота, общее недомогание, боли в мышцах;терапевт;2025-11-24T09:15+03:00;анализ крови на сахар;2025-11-26T09:00+03:00;1650 руб.;4475 2074 7411 2496
